source,target,type,weight
SOCIOL 3AC,SOCIOL 145AC,directed,3
SOCIOL 1,SOCIOL 145L,directed,3
SOCIOL 3AC,SOCIOL 145L,directed,3
SOCIOL 3AC,SOCIOL 146,directed,3
SOCIOL 3AC,SOCIOL 146AC,directed,3
SOCIOL 5,SOCIOL 148,directed,3
SOCIOL 1,SOCIOL 149,directed,3
SOCIOL 3AC,SOCIOL 149,directed,3
SOCIOL 1,SOCIOL 150,directed,3
SOCIOL 3AC,SOCIOL 150,directed,3
SOCIOL 3AC,SOCIOL 151,directed,3
SOCIOL 3AC,SOCIOL 152,directed,3
SOCIOL 3AC,SOCIOL 152AC,directed,3
SOCIOL 1,SOCIOL 160,directed,3
SOCIOL 3AC,SOCIOL 160,directed,3
SOCIOL 3AC,SOCIOL 163,directed,3
SOCIOL 3AC,SOCIOL 169,directed,3
SOCIOL 3AC,SOCIOL 173,directed,3
SOCIOL 1,SOCIOL 179,directed,3
SOCIOL 3AC,SOCIOL 179,directed,3
SOCIOL 3AC,SOCIOL 180C,directed,3
SOCIOL 1,SOCIOL 182,directed,3
SOCIOL 3AC,SOCIOL 182,directed,3
SOCIOL 3AC,SOCIOL C184,directed,3
SOCIOL 1,SOCIOL 186,directed,3
SOCIOL 3AC,SOCIOL 186,directed,3
SOCIOL 1,SOCIOL 189,directed,3
SOCIOL 3AC,SOCIOL 189,directed,3
SOCIOL 1,SOCIOL 189G,directed,3
SOCIOL 3AC,SOCIOL 189G,directed,3
SOCIOL 1,SOCIOL 190,directed,3
SOCIOL 3AC,SOCIOL 190,directed,3
SOCIOL C196B,SOCIOL C196A,directed,3
SOCIOL C196A,SOCIOL C196B,directed,3
SOCIOL 1,SOCIOL 197,directed,3
SOCIOL 3AC,SOCIOL 197,directed,3
SOCIOL 1,SOCIOL 198,directed,3
SOCIOL 3AC,SOCIOL 198,directed,3
SOCIOL 1,SOCIOL 199,directed,3
SOCIOL 3AC,SOCIOL 199,directed,3
SOCIOL 1,SOCIOL N1H,directed,3
SOCIOL 3AC,SOCIOL 7,directed,3
SOCIOL 3AC,SOCIOL 102,directed,3
SOCIOL 101,SOCIOL 103,directed,3
SOCIOL 102,SOCIOL 103,directed,3
SOCIOL 5,SOCIOL 105,directed,3
SOCIOL 5,SOCIOL 106,directed,3
SOCIOL 5,SOCIOL 107,directed,3
SOCIOL 5,SOCIOL 108,directed,3
SOCIOL 3AC,SOCIOL 110,directed,3
SOCIOL 3AC,SOCIOL 111,directed,3
SOCIOL 3AC,SOCIOL 111C,directed,3
SOCIOL 3AC,SOCIOL 111L,directed,3
SOCIOL 3AC,SOCIOL 111P,directed,3
SOCIOL 3AC,SOCIOL 112,directed,3
SOCIOL 3AC,SOCIOL 113,directed,3
SOCIOL 3AC,SOCIOL 113AC,directed,3
SOCIOL 3AC,SOCIOL 114,directed,3
SOCIOL 3AC,SOCIOL 115B,directed,3
SOCIOL 3AC,SOCIOL 115G,directed,3
SOCIOL 3AC,SOCIOL C115,directed,3
SOCIOL 3AC,SOCIOL 116,directed,3
SOCIOL 1,SOCIOL 117,directed,3
SOCIOL 3AC,SOCIOL 117,directed,3
SOCIOL 1,SOCIOL 119S,directed,3
SOCIOL 3AC,SOCIOL 119S,directed,3
SOCIOL 1,SOCIOL 120,directed,3
SOCIOL 3AC,SOCIOL 120,directed,3
SOCIOL 3AC,SOCIOL 121,directed,3
SOCIOL 1,SOCIOL C126,directed,3
SOCIOL 3AC,SOCIOL C126,directed,3
SOCIOL 1,SOCIOL 127,directed,3
SOCIOL 3AC,SOCIOL 127,directed,3
SOCIOL 1,SOCIOL 130,directed,3
SOCIOL 3AC,SOCIOL 130,directed,3
SOCIOL 1,SOCIOL 130AC,directed,3
SOCIOL 3AC,SOCIOL 130AC,directed,3
SOCIOL 1,SOCIOL 131,directed,3
SOCIOL 3AC,SOCIOL 131,directed,3
SOCIOL 1,SOCIOL 131AC,directed,3
SOCIOL 3AC,SOCIOL 131AC,directed,3
SOCIOL 3AC,SOCIOL 131F,directed,3
SOCIOL 1,SOCIOL 133,directed,3
SOCIOL 3AC,SOCIOL 133,directed,3
SOCIOL 1,SOCIOL 135,directed,3
SOCIOL 3AC,SOCIOL 135,directed,3
SOCIOL 1,SOCIOL 136,directed,3
SOCIOL 3AC,SOCIOL 136,directed,3
SOCIOL 3AC,SOCIOL 139,directed,3
SOCIOL 3AC,SOCIOL 139F,directed,3
SOCIOL 3AC,SOCIOL 139H,directed,3
SOCIOL 1,SOCIOL 140,directed,3
SOCIOL 3AC,SOCIOL 140,directed,3
SOCIOL 1,SOCIOL 141,directed,3
SOCIOL 3AC,SOCIOL 141,directed,3
SOCIOL 1,SOCIOL 142,directed,3
SOCIOL 3AC,SOCIOL 142,directed,3
SOCIOL 1,SOCIOL 144,directed,3
SOCIOL 3AC,SOCIOL 144,directed,3
SOCIOL 1,SOCIOL 145,directed,3
SOCIOL 3AC,SOCIOL 145,directed,3
SOCIOL 3AC,SOCIOL 145AC,directed,3
SOCIOL 1,SOCIOL 145L,directed,3
SOCIOL 3AC,SOCIOL 145L,directed,3
SOCIOL 3AC,SOCIOL 146,directed,3
SOCIOL 3AC,SOCIOL 146AC,directed,3
SOCIOL 5,SOCIOL 148,directed,3
SOCIOL 1,SOCIOL 149,directed,3
SOCIOL 3AC,SOCIOL 149,directed,3
SOCIOL 1,SOCIOL 150,directed,3
SOCIOL 3AC,SOCIOL 150,directed,3
SOCIOL 3AC,SOCIOL 151,directed,3
SOCIOL 3AC,SOCIOL 152,directed,3
SOCIOL 3AC,SOCIOL 152AC,directed,3
SOCIOL 1,SOCIOL 160,directed,3
SOCIOL 3AC,SOCIOL 160,directed,3
SOCIOL 3AC,SOCIOL 163,directed,3
SOCIOL 3AC,SOCIOL 169,directed,3
SOCIOL 3AC,SOCIOL 173,directed,3
SOCIOL 1,SOCIOL 179,directed,3
SOCIOL 3AC,SOCIOL 179,directed,3
SOCIOL 3AC,SOCIOL 180C,directed,3
SOCIOL 1,SOCIOL 182,directed,3
SOCIOL 3AC,SOCIOL 182,directed,3
SOCIOL 3AC,SOCIOL C184,directed,3
SOCIOL 1,SOCIOL 186,directed,3
SOCIOL 3AC,SOCIOL 186,directed,3
SOCIOL 1,SOCIOL 189,directed,3
SOCIOL 3AC,SOCIOL 189,directed,3
SOCIOL 1,SOCIOL 189G,directed,3
SOCIOL 3AC,SOCIOL 189G,directed,3
SOCIOL 1,SOCIOL 190,directed,3
SOCIOL 3AC,SOCIOL 190,directed,3
SOCIOL C196B,SOCIOL C196A,directed,3
SOCIOL C196A,SOCIOL C196B,directed,3
SOCIOL 1,SOCIOL 197,directed,3
SOCIOL 3AC,SOCIOL 197,directed,3
SOCIOL 1,SOCIOL 198,directed,3
SOCIOL 3AC,SOCIOL 198,directed,3
SOCIOL 1,SOCIOL 199,directed,3
SOCIOL 3AC,SOCIOL 199,directed,3
SOCIOL 1,SOCIOL N1H,directed,3
SOCIOL 3AC,SOCIOL 7,directed,3
SOCIOL 3AC,SOCIOL 102,directed,3
SOCIOL 101,SOCIOL 103,directed,3
SOCIOL 102,SOCIOL 103,directed,3
SOCIOL 5,SOCIOL 105,directed,3
SOCIOL 5,SOCIOL 106,directed,3
SOCIOL 5,SOCIOL 107,directed,3
SOCIOL 5,SOCIOL 108,directed,3
SOCIOL 3AC,SOCIOL 110,directed,3
SOCIOL 3AC,SOCIOL 111,directed,3
SOCIOL 3AC,SOCIOL 111C,directed,3
SOCIOL 3AC,SOCIOL 111L,directed,3
SOCIOL 3AC,SOCIOL 111P,directed,3
SOCIOL 3AC,SOCIOL 112,directed,3
SOCIOL 3AC,SOCIOL 113,directed,3
SOCIOL 3AC,SOCIOL 113AC,directed,3
SOCIOL 3AC,SOCIOL 114,directed,3
SOCIOL 3AC,SOCIOL 115B,directed,3
SOCIOL 3AC,SOCIOL 115G,directed,3
SOCIOL 3AC,SOCIOL C115,directed,3
SOCIOL 3AC,SOCIOL 116,directed,3
SOCIOL 1,SOCIOL 117,directed,3
SOCIOL 3AC,SOCIOL 117,directed,3
SOCIOL 1,SOCIOL 119S,directed,3
SOCIOL 3AC,SOCIOL 119S,directed,3
SOCIOL 1,SOCIOL 120,directed,3
SOCIOL 3AC,SOCIOL 120,directed,3
SOCIOL 3AC,SOCIOL 121,directed,3
SOCIOL 1,SOCIOL C126,directed,3
SOCIOL 3AC,SOCIOL C126,directed,3
SOCIOL 1,SOCIOL 127,directed,3
SOCIOL 3AC,SOCIOL 127,directed,3
SOCIOL 1,SOCIOL 130,directed,3
SOCIOL 3AC,SOCIOL 130,directed,3
SOCIOL 1,SOCIOL 130AC,directed,3
SOCIOL 3AC,SOCIOL 130AC,directed,3
SOCIOL 1,SOCIOL 131,directed,3
SOCIOL 3AC,SOCIOL 131,directed,3
SOCIOL 1,SOCIOL 131AC,directed,3
SOCIOL 3AC,SOCIOL 131AC,directed,3
SOCIOL 3AC,SOCIOL 131F,directed,3
SOCIOL 1,SOCIOL 133,directed,3
SOCIOL 3AC,SOCIOL 133,directed,3
SOCIOL 1,SOCIOL 135,directed,3
SOCIOL 3AC,SOCIOL 135,directed,3
SOCIOL 1,SOCIOL 136,directed,3
SOCIOL 3AC,SOCIOL 136,directed,3
SOCIOL 3AC,SOCIOL 139,directed,3
SOCIOL 3AC,SOCIOL 139F,directed,3
SOCIOL 3AC,SOCIOL 139H,directed,3
SOCIOL 1,SOCIOL 140,directed,3
SOCIOL 3AC,SOCIOL 140,directed,3
SOCIOL 1,SOCIOL 141,directed,3
SOCIOL 3AC,SOCIOL 141,directed,3
SOCIOL 1,SOCIOL 142,directed,3
SOCIOL 3AC,SOCIOL 142,directed,3
SOCIOL 1,SOCIOL 144,directed,3
SOCIOL 3AC,SOCIOL 144,directed,3
SOCIOL 1,SOCIOL 145,directed,3
SOCIOL 3AC,SOCIOL 145,directed,3
SOCIOL 3AC,SOCIOL 145AC,directed,3
SOCIOL 1,SOCIOL 145L,directed,3
SOCIOL 3AC,SOCIOL 145L,directed,3
SOCIOL 3AC,SOCIOL 146,directed,3
SOCIOL 3AC,SOCIOL 146AC,directed,3
SOCIOL 5,SOCIOL 148,directed,3
SOCIOL 1,SOCIOL 149,directed,3
SOCIOL 3AC,SOCIOL 149,directed,3
SOCIOL 1,SOCIOL 150,directed,3
SOCIOL 3AC,SOCIOL 150,directed,3
SOCIOL 3AC,SOCIOL 151,directed,3
SOCIOL 3AC,SOCIOL 152,directed,3
SOCIOL 3AC,SOCIOL 152AC,directed,3
SOCIOL 1,SOCIOL 160,directed,3
SOCIOL 3AC,SOCIOL 160,directed,3
SOCIOL 3AC,SOCIOL 163,directed,3
SOCIOL 3AC,SOCIOL 169,directed,3
SOCIOL 3AC,SOCIOL 173,directed,3
SOCIOL 1,SOCIOL 179,directed,3
SOCIOL 3AC,SOCIOL 179,directed,3
SOCIOL 3AC,SOCIOL 180C,directed,3
SOCIOL 1,SOCIOL 182,directed,3
SOCIOL 3AC,SOCIOL 182,directed,3
SOCIOL 3AC,SOCIOL C184,directed,3
SOCIOL 1,SOCIOL 186,directed,3
SOCIOL 3AC,SOCIOL 186,directed,3
SOCIOL 1,SOCIOL 189,directed,3
SOCIOL 3AC,SOCIOL 189,directed,3
SOCIOL 1,SOCIOL 189G,directed,3
SOCIOL 3AC,SOCIOL 189G,directed,3
SOCIOL 1,SOCIOL 190,directed,3
SOCIOL 3AC,SOCIOL 190,directed,3
SOCIOL C196B,SOCIOL C196A,directed,3
SOCIOL C196A,SOCIOL C196B,directed,3
SOCIOL 1,SOCIOL 197,directed,3
SOCIOL 3AC,SOCIOL 197,directed,3
SOCIOL 1,SOCIOL 198,directed,3
SOCIOL 3AC,SOCIOL 198,directed,3
SOCIOL 1,SOCIOL 199,directed,3
SOCIOL 3AC,SOCIOL 199,directed,3
SOCIOL 1,SOCIOL N1H,directed,3
SOCIOL 3AC,SOCIOL 7,directed,3
SOCIOL 3AC,SOCIOL 102,directed,3
SOCIOL 101,SOCIOL 103,directed,3
SOCIOL 102,SOCIOL 103,directed,3
SOCIOL 5,SOCIOL 105,directed,3
SOCIOL 5,SOCIOL 106,directed,3
SOCIOL 5,SOCIOL 107,directed,3
SOCIOL 5,SOCIOL 108,directed,3
SOCIOL 3AC,SOCIOL 110,directed,3
SOCIOL 3AC,SOCIOL 111,directed,3
SOCIOL 3AC,SOCIOL 111C,directed,3
SOCIOL 3AC,SOCIOL 111L,directed,3
SOCIOL 3AC,SOCIOL 111P,directed,3
SOCIOL 3AC,SOCIOL 112,directed,3
SOCIOL 3AC,SOCIOL 113,directed,3
SOCIOL 3AC,SOCIOL 113AC,directed,3
SOCIOL 3AC,SOCIOL 114,directed,3
SOCIOL 3AC,SOCIOL 115B,directed,3
SOCIOL 3AC,SOCIOL 115G,directed,3
SOCIOL 3AC,SOCIOL C115,directed,3
SOCIOL 3AC,SOCIOL 116,directed,3
SOCIOL 1,SOCIOL 117,directed,3
SOCIOL 3AC,SOCIOL 117,directed,3
SOCIOL 1,SOCIOL 119S,directed,3
SOCIOL 3AC,SOCIOL 119S,directed,3
SOCIOL 1,SOCIOL 120,directed,3
SOCIOL 3AC,SOCIOL 120,directed,3
SOCIOL 3AC,SOCIOL 121,directed,3
SOCIOL 1,SOCIOL C126,directed,3
SOCIOL 3AC,SOCIOL C126,directed,3
SOCIOL 1,SOCIOL 127,directed,3
SOCIOL 3AC,SOCIOL 127,directed,3
SOCIOL 1,SOCIOL 130,directed,3
SOCIOL 3AC,SOCIOL 130,directed,3
SOCIOL 1,SOCIOL 130AC,directed,3
SOCIOL 3AC,SOCIOL 130AC,directed,3
SOCIOL 1,SOCIOL 131,directed,3
SOCIOL 3AC,SOCIOL 131,directed,3
SOCIOL 1,SOCIOL 131AC,directed,3
SOCIOL 3AC,SOCIOL 131AC,directed,3
SOCIOL 3AC,SOCIOL 131F,directed,3
SOCIOL 1,SOCIOL 133,directed,3
SOCIOL 3AC,SOCIOL 133,directed,3
SOCIOL 1,SOCIOL 135,directed,3
SOCIOL 3AC,SOCIOL 135,directed,3
SOCIOL 1,SOCIOL 136,directed,3
SOCIOL 3AC,SOCIOL 136,directed,3
SOCIOL 3AC,SOCIOL 139,directed,3
SOCIOL 3AC,SOCIOL 139F,directed,3
SOCIOL 3AC,SOCIOL 139H,directed,3
SOCIOL 1,SOCIOL 140,directed,3
SOCIOL 3AC,SOCIOL 140,directed,3
SOCIOL 1,SOCIOL 141,directed,3
SOCIOL 3AC,SOCIOL 141,directed,3
SOCIOL 1,SOCIOL 142,directed,3
SOCIOL 3AC,SOCIOL 142,directed,3
SOCIOL 1,SOCIOL 144,directed,3
SOCIOL 3AC,SOCIOL 144,directed,3
SOCIOL 1,SOCIOL 145,directed,3
SOCIOL 3AC,SOCIOL 145,directed,3
SOCIOL 3AC,SOCIOL 145AC,directed,3
SOCIOL 1,SOCIOL 145L,directed,3
SOCIOL 3AC,SOCIOL 145L,directed,3
SOCIOL 3AC,SOCIOL 146,directed,3
SOCIOL 3AC,SOCIOL 146AC,directed,3
SOCIOL 5,SOCIOL 148,directed,3
SOCIOL 1,SOCIOL 149,directed,3
SOCIOL 3AC,SOCIOL 149,directed,3
SOCIOL 1,SOCIOL 150,directed,3
SOCIOL 3AC,SOCIOL 150,directed,3
SOCIOL 3AC,SOCIOL 151,directed,3
SOCIOL 3AC,SOCIOL 152,directed,3
SOCIOL 3AC,SOCIOL 152AC,directed,3
SOCIOL 1,SOCIOL 160,directed,3
SOCIOL 3AC,SOCIOL 160,directed,3
SOCIOL 3AC,SOCIOL 163,directed,3
SOCIOL 3AC,SOCIOL 169,directed,3
SOCIOL 3AC,SOCIOL 173,directed,3
SOCIOL 1,SOCIOL 179,directed,3
SOCIOL 3AC,SOCIOL 179,directed,3
SOCIOL 3AC,SOCIOL 180C,directed,3
SOCIOL 1,SOCIOL 182,directed,3
SOCIOL 3AC,SOCIOL 182,directed,3
SOCIOL 3AC,SOCIOL C184,directed,3
SOCIOL 1,SOCIOL 186,directed,3
SOCIOL 3AC,SOCIOL 186,directed,3
SOCIOL 1,SOCIOL 189,directed,3
SOCIOL 3AC,SOCIOL 189,directed,3
SOCIOL 1,SOCIOL 189G,directed,3
SOCIOL 3AC,SOCIOL 189G,directed,3
SOCIOL 1,SOCIOL 190,directed,3
SOCIOL 3AC,SOCIOL 190,directed,3
SOCIOL C196B,SOCIOL C196A,directed,3
SOCIOL C196A,SOCIOL C196B,directed,3
SOCIOL 1,SOCIOL 197,directed,3
SOCIOL 3AC,SOCIOL 197,directed,3
SOCIOL 1,SOCIOL 198,directed,3
SOCIOL 3AC,SOCIOL 198,directed,3
SOCIOL 1,SOCIOL 199,directed,3
SOCIOL 3AC,SOCIOL 199,directed,3
SOCIOL 1,SOCIOL N1H,directed,3
SOCIOL 3AC,SOCIOL 7,directed,3
SOCIOL 3AC,SOCIOL 102,directed,3
SOCIOL 101,SOCIOL 103,directed,3
SOCIOL 102,SOCIOL 103,directed,3
SOCIOL 5,SOCIOL 105,directed,3
SOCIOL 5,SOCIOL 106,directed,3
SOCIOL 5,SOCIOL 107,directed,3
SOCIOL 5,SOCIOL 108,directed,3
SOCIOL 3AC,SOCIOL 110,directed,3
SOCIOL 3AC,SOCIOL 111,directed,3
SOCIOL 3AC,SOCIOL 111C,directed,3
SOCIOL 3AC,SOCIOL 111L,directed,3
SOCIOL 3AC,SOCIOL 111P,directed,3
SOCIOL 3AC,SOCIOL 112,directed,3
SOCIOL 3AC,SOCIOL 113,directed,3
SOCIOL 3AC,SOCIOL 113AC,directed,3
SOCIOL 3AC,SOCIOL 114,directed,3
SOCIOL 3AC,SOCIOL 115B,directed,3
SOCIOL 3AC,SOCIOL 115G,directed,3
SOCIOL 3AC,SOCIOL C115,directed,3
SOCIOL 3AC,SOCIOL 116,directed,3
SOCIOL 1,SOCIOL 117,directed,3
SOCIOL 3AC,SOCIOL 117,directed,3
SOCIOL 1,SOCIOL 119S,directed,3
SOCIOL 3AC,SOCIOL 119S,directed,3
SOCIOL 1,SOCIOL 120,directed,3
SOCIOL 3AC,SOCIOL 120,directed,3
SOCIOL 3AC,SOCIOL 121,directed,3
SOCIOL 1,SOCIOL C126,directed,3
SOCIOL 3AC,SOCIOL C126,directed,3
SOCIOL 1,SOCIOL 127,directed,3
SOCIOL 3AC,SOCIOL 127,directed,3
SOCIOL 1,SOCIOL 130,directed,3
SOCIOL 3AC,SOCIOL 130,directed,3
SOCIOL 1,SOCIOL 130AC,directed,3
SOCIOL 3AC,SOCIOL 130AC,directed,3
SOCIOL 1,SOCIOL 131,directed,3
SOCIOL 3AC,SOCIOL 131,directed,3
SOCIOL 1,SOCIOL 131AC,directed,3
SOCIOL 3AC,SOCIOL 131AC,directed,3
SOCIOL 3AC,SOCIOL 131F,directed,3
SOCIOL 1,SOCIOL 133,directed,3
SOCIOL 3AC,SOCIOL 133,directed,3
SOCIOL 1,SOCIOL 135,directed,3
SOCIOL 3AC,SOCIOL 135,directed,3
SOCIOL 1,SOCIOL 136,directed,3
SOCIOL 3AC,SOCIOL 136,directed,3
SOCIOL 3AC,SOCIOL 139,directed,3
SOCIOL 3AC,SOCIOL 139F,directed,3
SOCIOL 3AC,SOCIOL 139H,directed,3
SOCIOL 1,SOCIOL 140,directed,3
SOCIOL 3AC,SOCIOL 140,directed,3
SOCIOL 1,SOCIOL 141,directed,3
SOCIOL 3AC,SOCIOL 141,directed,3
SOCIOL 1,SOCIOL 142,directed,3
SOCIOL 3AC,SOCIOL 142,directed,3
SOCIOL 1,SOCIOL 144,directed,3
SOCIOL 3AC,SOCIOL 144,directed,3
SOCIOL 1,SOCIOL 145,directed,3
SOCIOL 3AC,SOCIOL 145,directed,3
SOCIOL 3AC,SOCIOL 145AC,directed,3
SOCIOL 1,SOCIOL 145L,directed,3
SOCIOL 3AC,SOCIOL 145L,directed,3
SOCIOL 3AC,SOCIOL 146,directed,3
SOCIOL 3AC,SOCIOL 146AC,directed,3
SOCIOL 5,SOCIOL 148,directed,3
SOCIOL 1,SOCIOL 149,directed,3
SOCIOL 3AC,SOCIOL 149,directed,3
SOCIOL 1,SOCIOL 150,directed,3
SOCIOL 3AC,SOCIOL 150,directed,3
SOCIOL 3AC,SOCIOL 151,directed,3
SOCIOL 3AC,SOCIOL 152,directed,3
SOCIOL 3AC,SOCIOL 152AC,directed,3
SOCIOL 1,SOCIOL 160,directed,3
SOCIOL 3AC,SOCIOL 160,directed,3
SOCIOL 3AC,SOCIOL 163,directed,3
SOCIOL 3AC,SOCIOL 169,directed,3
SOCIOL 3AC,SOCIOL 173,directed,3
SOCIOL 1,SOCIOL 179,directed,3
SOCIOL 3AC,SOCIOL 179,directed,3
SOCIOL 3AC,SOCIOL 180C,directed,3
SOCIOL 1,SOCIOL 182,directed,3
SOCIOL 3AC,SOCIOL 182,directed,3
SOCIOL 3AC,SOCIOL C184,directed,3
SOCIOL 1,SOCIOL 186,directed,3
SOCIOL 3AC,SOCIOL 186,directed,3
SOCIOL 1,SOCIOL 189,directed,3
SOCIOL 3AC,SOCIOL 189,directed,3
SOCIOL 1,SOCIOL 189G,directed,3
SOCIOL 3AC,SOCIOL 189G,directed,3
SOCIOL 1,SOCIOL 190,directed,3
SOCIOL 3AC,SOCIOL 190,directed,3
SOCIOL C196B,SOCIOL C196A,directed,3
SOCIOL C196A,SOCIOL C196B,directed,3
SOCIOL 1,SOCIOL 197,directed,3
SOCIOL 3AC,SOCIOL 197,directed,3
SOCIOL 1,SOCIOL 198,directed,3
SOCIOL 3AC,SOCIOL 198,directed,3
SOCIOL 1,SOCIOL 199,directed,3
SOCIOL 3AC,SOCIOL 199,directed,3
SOCIOL R1B,SOCIOL R1B,directed,3
SOCIOL 88,SOCIOL 88,directed,3
SOCIOL 98,SOCIOL 98,directed,3
SOCIOL 98BC,SOCIOL 98BC,directed,3
SOCIOL 111AC,SOCIOL 111AC,directed,3
SOCIOL 124,SOCIOL 124,directed,3
SOCIOL 137AC,SOCIOL 137AC,directed,3
SOCIOL 165,SOCIOL 165,directed,3
SOCIOL 166,SOCIOL 166,directed,3
SOCIOL 167,SOCIOL 167,directed,3
SOCIOL C167,SOCIOL C167,directed,3
SOCIOL 169C,SOCIOL 169C,directed,3
SOCIOL 169F,SOCIOL 169F,directed,3
SOCIOL 180E,SOCIOL 180E,directed,3
SOCIOL 180I,SOCIOL 180I,directed,3
SOCIOL 180P,SOCIOL 180P,directed,3
SOCIOL 185,SOCIOL 185,directed,3
SOCIOL C189,SOCIOL C189,directed,3
SOCIOL 190AC,SOCIOL 190AC,directed,3
SOCIOL H190A,SOCIOL H190A,directed,3
SOCIOL H190B,SOCIOL H190B,directed,3
SOCIOL 193,SOCIOL 193,directed,3
SOCIOL 194,SOCIOL 194,directed,3
SOCIOL C196W,SOCIOL C196W,directed,3
SOCIOL 198BC,SOCIOL 198BC,directed,3
SOCIOL R1B,SOCIOL R1B,directed,3
SOCIOL 88,SOCIOL 88,directed,3
SOCIOL 98,SOCIOL 98,directed,3
SOCIOL 98BC,SOCIOL 98BC,directed,3
SOCIOL 111AC,SOCIOL 111AC,directed,3
SOCIOL 124,SOCIOL 124,directed,3
SOCIOL 137AC,SOCIOL 137AC,directed,3
SOCIOL 165,SOCIOL 165,directed,3
SOCIOL 166,SOCIOL 166,directed,3
SOCIOL 167,SOCIOL 167,directed,3
SOCIOL C167,SOCIOL C167,directed,3
SOCIOL 169C,SOCIOL 169C,directed,3
SOCIOL 169F,SOCIOL 169F,directed,3
SOCIOL 180E,SOCIOL 180E,directed,3
SOCIOL 180I,SOCIOL 180I,directed,3
SOCIOL 180P,SOCIOL 180P,directed,3
SOCIOL 185,SOCIOL 185,directed,3
SOCIOL C189,SOCIOL C189,directed,3
SOCIOL 190AC,SOCIOL 190AC,directed,3
SOCIOL H190A,SOCIOL H190A,directed,3
SOCIOL H190B,SOCIOL H190B,directed,3
SOCIOL 193,SOCIOL 193,directed,3
SOCIOL 194,SOCIOL 194,directed,3
SOCIOL C196W,SOCIOL C196W,directed,3
SOCIOL 198BC,SOCIOL 198BC,directed,3
SOCIOL R1B,SOCIOL R1B,directed,3
SOCIOL 88,SOCIOL 88,directed,3
SOCIOL 98,SOCIOL 98,directed,3
SOCIOL 98BC,SOCIOL 98BC,directed,3
SOCIOL 111AC,SOCIOL 111AC,directed,3
SOCIOL 124,SOCIOL 124,directed,3
SOCIOL 137AC,SOCIOL 137AC,directed,3
SOCIOL 165,SOCIOL 165,directed,3
SOCIOL 166,SOCIOL 166,directed,3
SOCIOL 167,SOCIOL 167,directed,3
SOCIOL C167,SOCIOL C167,directed,3
SOCIOL 169C,SOCIOL 169C,directed,3
SOCIOL 169F,SOCIOL 169F,directed,3
SOCIOL 180E,SOCIOL 180E,directed,3
